RISK,DESCRIPTION,MITIGATION CONTROL ,DESCRIPTION
RAW DATA,Insufficient access controls,DASF 1,SSO with IdP and MFA
RAW DATA,Insufficient access controls,DASF 2,Sync users and groups
RAW DATA,Insufficient access controls,DASF 3,Restrict access using IP access lists
RAW DATA,Insufficient access controls,DASF 4,Restrict access using private link
RAW DATA,Insufficient access controls,DASF 51,Share data and AI assets securely
RAW DATA,Missing data classification,DASF 6,Classify data
RAW DATA,Poor data quality,DASF 7,Enforce data quality checks on batch and streaming datasets
RAW DATA,Poor data quality,DASF 21,Monitor data and AI system from a single pane of glass
RAW DATA,Poor data quality,DASF 36,Set up monitoring alerts
RAW DATA,Ineffective storage and encryption,DASF 8,Encrypt data at rest
RAW DATA,Ineffective storage and encryption,DASF 9,Encrypt data in transit
RAW DATA,Ineffective storage and encryption,DASF 5,Control access to data and other objects
RAW DATA,Lack of data versioning,DASF 10,Version data
RAW DATA,Insufficient data lineage,DASF 11,Capture and view data lineage
RAW DATA,Insufficient data lineage,DASF 51,Share data and AI assets securely
RAW DATA,Lack of data trustworthiness,DASF 10,Version data
RAW DATA,Lack of data trustworthiness,DASF 51,Share data and AI assets securely
RAW DATA,Data legal,DASF 12,Delete records from datasets
RAW DATA,Data legal,DASF 29,Build MLOps workflows
RAW DATA,Data legal,DASF 27,Pretrain a large language model (LLM)
RAW DATA,Stale data,DASF 13,Use near real-time data
RAW DATA,Stale data,DASF 7,Enforce data quality checks on batch and streaming datasets
RAW DATA,Lack of data access logs,DASF 14,Audit actions performed on datasets
DATA PREP,Preprocessing integrity,DASF 1,SSO with IdP and MFA
DATA PREP,Preprocessing integrity,DASF 2,Sync users and groups
DATA PREP,Preprocessing integrity,DASF 3,Restrict access using IP access lists
DATA PREP,Preprocessing integrity,DASF 4,Restrict access using private link
DATA PREP,Preprocessing integrity,DASF 5,Control access to data and other objects
DATA PREP,Preprocessing integrity,DASF 7,Enforce data quality checks on batch and streaming datasets
DATA PREP,Preprocessing integrity,DASF 11,Capture and view data lineage
DATA PREP,Preprocessing integrity,DASF 15,Explore datasets and identify problems
DATA PREP,Preprocessing integrity,DASF 52,Source code control
DATA PREP,Preprocessing integrity,DASF 16,Secure model features
DATA PREP,Preprocessing integrity,DASF 42,Employ data-centric MLOps and LLMOps
DATA PREP,Feature manipulation,DASF 1,SSO with IdP and MFA
DATA PREP,Feature manipulation,DASF 2,Sync users and groups
DATA PREP,Feature manipulation,DASF 3,Restrict access using IP access lists
DATA PREP,Feature manipulation,DASF 4,Restrict access using private link
DATA PREP,Feature manipulation,DASF 16,Secure model features
DATA PREP,Feature manipulation,DASF 42,Employ data-centric MLOps and LLMOps
DATA PREP,Raw data criteria,DASF 1,SSO with IdP and MFA
